"source_folder","nome_recomendado","nome_antigo","arquivo_original","arquivo_gif_organizado","gif_encontrado","tag_principal","tags_secundarias","descricao"
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominais com peso","Abdominais com peso","Abdominais com peso","Abdominais com peso.gif","abdominais_com_peso.gif","abdominais_com_peso.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal ajoelhado na polia","Abdominal ajoelhado na polia","Ajoelhado, trituração de cabo","Ajoelhado, trituração de cabo.gif","abdominal_ajoelhado_na_polia.gif","abdominal_ajoelhado_na_polia.gif","Abdômen/Core","Polia/Cabo | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta","Abdominal bicicleta","Abdominal bicicleta","Abdominal bicicleta.gif","abdominal_bicicleta.gif","abdominal_bicicleta.gif","Abdômen/Core","Bicicleta | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta com elástico","Abdominal bicicleta com elástico","019_abdominal_bicicleta_com_elastico","019_abdominal_bicicleta_com_elastico.gif","abdominal_bicicleta_com_elastico.gif","abdominal_bicicleta_com_elastico.gif","Abdômen/Core","Elástico | Bicicleta | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta","Abdominal borboleta","Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado","Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado.gif","abdominal_borboleta.gif","abdominal_borboleta.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta - variação 2","Abdominal borboleta - variação 2","Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado - Variação 2","Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado - Variação 2.gif","abdominal_borboleta_variacao_2.gif","abdominal_borboleta_variacao_2.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete","Abdominal canivete","Abdominais canivetes","Abdominais canivetes.gif","abdominal_canivete.gif","abdominal_canivete.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete com bola suíça","Abdominal canivete com bola suíça","Prancha joelho a cotovelo","abdominais/Prancha joelho a cotovelo.gif","abdominal_canivete_com_bola_suica.gif","abdominal_canivete_com_bola_suica.gif","Abdômen/Core","Bola | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete com braços estendidos","Abdominal canivete com braços estendidos","Deitado, joelho levantado - Variação 2","abdominais/Deitado, joelho levantado - Variação 2.gif","abdominal_canivete_com_bracos_estendidos.gif","abdominal_canivete_com_bracos_estendidos.gif","Abdômen/Core","Sem aparelhos | Casa","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
"C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete com halteres","Abdominal canivete com halteres","Lever deitado abdominal","abdominais/Lever deitado abdominal.gif","abdominal_canivete_com_halteres.gif","abdominal_canivete_com_halteres.gif","Abdômen/Core","Halteres | Academia","Mantenha o abdômen contraído e a lombar controlada. Aproxime tronco e pernas conforme a variação mostrada, soltando o ar na fase de maior contração. Retorne lentamente, sem usar impulso do pescoço ou dos braços."
